"","Idents.obj."
"mBC-0716-2_C12,D3","L5/6 NP CTX"
"mBC-0716-2_C12,E2","Astro"
"mBC-0716-2_C12,E7","L6 CT CTX a"
"mBC-0716-2_C12,E8","L6 IT CTX"
"mBC-0716-2_C12,F4","L2/3 IT CTX b"
"mBC-0716-2_C12,G2","OPC"
"mBC-0716-2_C12,G7","L5 IT RSP"
"mBC-0716-2_C12,G10","ODC"
"mBC-0716-2_C12,H2","Vip"
"mBC-0716-2_C12,H8","L4/5 IT CTX"
"mBC-0716-2_D1,A2","L4/5 IT CTX"
"mBC-0716-2_D1,A3","L5 IT CTX"
"mBC-0716-2_D1,A7","L2 IT RvPP"
"mBC-0716-2_D1,A8","L4/5 IT CTX"
"mBC-0716-2_D1,B6","L2/3 IT CTX c"
"mBC-0716-2_D1,C12","L4 IT CTX"
"mBC-0716-2_D1,E12","Pvalb a"
"mBC-0716-2_D1,F7","L2/3 IT CTX b"
"mBC-0716-2_D1,F9","L2 IT RvPP"
"mBC-0716-2_D1,F10","L2/3 IT RSP"
"mBC-0716-2_D1,G5","L2/3 IT CTX b"
"mBC-0716-2_D1,G7","L6 CT CTX a"
"mBC-0716-2_D1,G11","Lamp5"
"mBC-0716-2_D2,A1","L4/5 IT CTX"
"mBC-0716-2_D2,A4","L6 CT CTX a"
"mBC-0716-2_D2,A5","L2/3 IT CTX b"
"mBC-0716-2_D2,B10","L2 IT RvPP"
"mBC-0716-2_D2,B12","Astro"
"mBC-0716-2_D2,C8","Vip"
"mBC-0716-2_D2,C9","L5/6 NP CTX"
"mBC-0716-2_D2,F1","L6 CT CTX a"
"mBC-0716-2_D2,G9","L4 IT CTX"
"mBC-0716-2_D2,H3","L2/3 IT CTX c"
"mBC-0716-2_D2,H8","L2/3 IT CTX b"
"mBC-0716-2_D2,H10","L4/5 IT CTX"
"mBC-0716-2_D3,A1","L5 IT RSP"
"mBC-0716-2_D3,B1","L2/3 IT CTX a"
"mBC-0716-2_D3,B3","Micro"
"mBC-0716-2_D3,B7","L2/3 IT CTX a"
"mBC-0716-2_D3,B10","Pvalb b"
"mBC-0716-2_D3,C6","L2/3 IT CTX b"
"mBC-0716-2_D3,D3","Astro"
"mBC-0716-2_D3,D5","Astro"
"mBC-0716-2_D3,D7","L4/5 IT CTX"
"mBC-0716-2_D3,D10","L2/3 IT CTX a"
"mBC-0716-2_D3,E3","Lamp5"
"mBC-0716-2_D3,F1","L6 CT CTX a"
"mBC-0716-2_D3,F12","Unk"
"mBC-0716-2_D3,G9","Pvalb a"
"mBC-0716-2_D3,H3","ODC"
"mBC-0716-2_D3,H5","Astro"
"mBC-0716-2_D3,H11","Unk"
"mBC-0716-2_D4,A7","L2/3 IT CTX a"
"mBC-0716-2_D4,B5","Astro"
"mBC-0716-2_D4,B8","L5 IT CTX"
"mBC-0716-2_D4,D2","L2/3 IT CTX a"
"mBC-0716-2_D4,D7","L5 IT RSP"
"mBC-0716-2_D4,D12","L2 IT RvPP"
"mBC-0716-2_D4,E2","L5/6 NP CTX"
"mBC-0716-2_D4,E8","L6 IT CTX"
"mBC-0716-2_D4,F5","L2/3 IT RSP"
"mBC-0716-2_D5,A11","L6 IT CTX"
"mBC-0716-2_D5,D9","L2/3 IT RSP"
"mBC-0716-2_D5,E8","L4/5 IT CTX"
"mBC-0716-2_D5,G8","L6 IT CTX"
"mBC-0716-2_D5,G10","L2/3 IT CTX a"
"mBC-0716-2_D5,H2","L2/3 IT CTX b"
"mBC-0716-2_D5,H4","Unk"
"mBC-0716-2_D6,A1","ODC"
"mBC-0716-2_D6,B6","Vip"
"mBC-0716-2_D6,B7","L4 IT CTX"
"mBC-0716-2_D6,B12","L4/5 IT CTX"
"mBC-0716-2_D6,C12","L5 IT CTX"
"mBC-0716-2_D6,D5","L2/3 IT CTX a"
"mBC-0716-2_D6,E3","L2/3 IT CTX c"
"mBC-0716-2_D6,E5","L5 IT CTX"
"mBC-0716-2_D6,F8","L4/5 IT CTX"
"mBC-0716-2_D6,F9","L2/3 IT CTX a"
"mBC-0716-2_D6,G1","L2/3 IT CTX b"
"mBC-0716-2_D6,G2","L4 IT CTX"
"mBC-0716-2_D6,H7","L2/3 IT RSP"
"mBC-0716-2_D6,H8","L2/3 IT CTX a"
"mBC-0716-2_D7,A4","L2/3 IT CTX c"
"mBC-0716-2_D7,A6","Astro"
"mBC-0716-2_D7,B5","L2/3 IT RSP"
"mBC-0716-2_D7,B6","L2/3 IT CTX c"
"mBC-0716-2_D7,C2","L2 IT RvPP"
"mBC-0716-2_D7,D5","L4 IT CTX"
"mBC-0716-2_D7,D10","L2/3 IT CTX c"
"mBC-0716-2_D7,D11","L5/6 NP CTX"
"mBC-0716-2_D7,F4","L2/3 IT CTX c"
"mBC-0716-2_D7,F9","Astro"
"mBC-0716-2_D7,H7","L2/3 IT CTX b"
"mBC-0716-2_D7,H8","Astro"
"mBC-0716-2_D7,H11","Unk"
"mBC-0716-2_D7,H12","Sst b"
"mBC-0716-2_D8,A4","L2/3 IT CTX a"
"mBC-0716-2_D8,B1","L5/6 NP CTX"
"mBC-0716-2_D8,B4","L2/3 IT CTX b"
"mBC-0716-2_D8,B5","L2/3 IT RSP"
"mBC-0716-2_D8,C6","ODC"
"mBC-0716-2_D8,F2","L6 CT CTX a"
"mBC-0716-2_D8,F5","L6 CT CTX b"
"mBC-0716-2_D8,F7","L6 CT CTX b"
"mBC-0716-2_D8,F11","Sst a"
"mBC-0716-2_D8,G2","L5 IT RSP"
"mBC-0716-2_D8,H8","Meis2"
"mBC-0716-2_D8,H10","L6 CT CTX a"
"mBC-0716-2_D9,A9","VLMC"
"mBC-0716-2_D9,B3","Micro"
"mBC-0716-2_D9,B7","L2/3 IT CTX c"
"mBC-0716-2_D9,B9","L6 CT CTX a"
"mBC-0716-2_D9,B10","L2/3 IT RSP"
"mBC-0716-2_D9,B11","Unk"
"mBC-0716-2_D9,C11","L2/3 IT CTX c"
"mBC-0716-2_D9,D1","Sncg"
"mBC-0716-2_D9,D2","L2/3 IT CTX a"
"mBC-0716-2_D9,E1","Vip"
"mBC-0716-2_D9,F8","L2/3 IT CTX c"
"mBC-0716-2_D9,G10","L2/3 IT CTX b"
"mBC-0716-2_D9,H12","Astro"
"mBC-0716-2_D10,A2","L2/3 IT CTX a"
"mBC-0716-2_D10,A7","L6 IT CTX"
"mBC-0716-2_D10,A8","L6 IT CTX"
"mBC-0716-2_D10,B1","L2 IT RvPP"
"mBC-0716-2_D10,B11","L5 IT CTX"
"mBC-0716-2_D10,C2","L5 IT CTX"
"mBC-0716-2_D10,C3","Astro"
"mBC-0716-2_D10,C6","L4/5 IT CTX"
"mBC-0716-2_D10,C11","Pvalb a"
"mBC-0716-2_D10,E7","Sst b"
"mBC-0716-2_D10,F6","L4/5 IT CTX"
"mBC-0716-2_D10,G3","L5 IT RSP"
"mBC-0716-2_D10,G5","VLMC"
"mBC-0716-2_D10,H11","Unk"
"mBC-0716-2_D11,A5","L2 IT RvPP"
"mBC-0716-2_D11,A12","Sst a"
"mBC-0716-2_D11,C8","L6 IT CTX"
"mBC-0716-2_D11,D3","Meis2"
"mBC-0716-2_D11,D11","Sst a"
"mBC-0716-2_D11,E1","Pvalb a"
"mBC-0716-2_D11,E11","L5 IT RSP"
"mBC-0716-2_D11,E12","L2/3 IT CTX a"
"mBC-0716-2_D11,F2","Lamp5"
"mBC-0716-2_D11,F5","Astro"
"mBC-0716-2_D12,A4","L2/3 IT CTX a"
"mBC-0716-2_D12,A8","L2/3 IT CTX c"
"mBC-0716-2_D12,C10","ODC"
"mBC-0716-2_D12,D3","L5 IT CTX"
"mBC-0716-2_D12,E3","OPC"
"mBC-0716-2_D12,G2","L5 PT CTX"
"mBC-0716-2_D12,H7","L5 IT RSP"
"mBC-0716-2_D12,H9","L4 IT CTX"
"mBC-0716-2_E1,B11","Unk"
"mBC-0716-2_E1,E1","Pvalb a"
"mBC-0716-2_E1,F1","L2 IT RvPP"
"mBC-0716-2_E1,F8","L5 IT CTX"
"mBC-0716-2_E1,G5","L5 IT RSP"
"mBC-0716-2_E1,H2","L2/3 IT CTX b"
"mBC-0716-2_E1,H5","L4/5 IT CTX"
"mBC-0716-2_E2,A5","L5 IT CTX"
"mBC-0716-2_E2,A10","L2/3 IT CTX b"
"mBC-0716-2_E2,A12","L4/5 IT CTX"
"mBC-0716-2_E2,B1","L5 IT RSP"
"mBC-0716-2_E2,B6","Pvalb b"
"mBC-0716-2_E2,B12","L4 IT CTX"
"mBC-0716-2_E2,C1","L5/6 NP CTX"
"mBC-0716-2_E2,C5","L5 IT CTX"
"mBC-0716-2_E2,D6","Lamp5"
"mBC-0716-2_E2,D9","Meis2"
"mBC-0716-2_E2,E3","L2/3 IT CTX b"
"mBC-0716-2_E2,E7","OPC"
"mBC-0716-2_E2,F8","Unk"
"mBC-0716-2_E2,F10","L2/3 IT CTX a"
"mBC-0716-2_E2,G10","ODC"
"mBC-0716-2_E2,H1","L5 IT CTX"
"mBC-0716-2_E2,H7","OPC"
"mBC-0716-2_E2,H8","Sst a"
"mBC-0716-2_E3,A3","Astro"
"mBC-0716-2_E3,A5","L5 IT CTX"
"mBC-0716-2_E3,B4","L4 IT CTX"
"mBC-0716-2_E3,B7","L2/3 IT RSP"
"mBC-0716-2_E3,C8","OPC"
"mBC-0716-2_E3,C10","L2 IT RvPP"
"mBC-0716-2_E3,D4","L5/6 NP CTX"
"mBC-0716-2_E3,D6","L6 CT CTX a"
"mBC-0716-2_E3,F10","Vip"
"mBC-0716-2_E3,G3","Astro"
"mBC-0716-2_E3,H2","L2/3 IT RSP"
"mBC-0716-2_E3,H10","ODC"
"mBC-0716-2_E3,H11","Unk"
"mBC-0716-2_E4,A1","Sst a"
"mBC-0716-2_E4,A5","Sst b"
"mBC-0716-2_E4,B4","L2/3 IT CTX a"
"mBC-0716-2_E4,C6","L5 IT CTX"
"mBC-0716-2_E4,C12","L5 IT CTX"
"mBC-0716-2_E4,D4","L5 IT CTX"
"mBC-0716-2_E4,D12","L2 IT RvPP"
"mBC-0716-2_E4,F3","L2/3 IT CTX c"
"mBC-0716-2_E4,F4","Meis2"
"mBC-0716-2_E4,F5","ODC"
"mBC-0716-2_E4,F10","L2/3 IT CTX c"
"mBC-0716-2_E4,H5","L6 CT CTX a"
"mBC-0716-2_E4,H8","L2/3 IT CTX a"
"mBC-0716-2_E4,H9","L4/5 IT CTX"
"mBC-0716-2_E4,H11","Unk"
"mBC-0716-2_E5,A2","L2/3 IT CTX c"
"mBC-0716-2_E5,A3","L5/6 NP CTX"
"mBC-0716-2_E5,B3","L5/6 NP CTX"
"mBC-0716-2_E5,B12","L2/3 IT CTX a"
"mBC-0716-2_E5,C3","L5 IT CTX"
"mBC-0716-2_E5,C8","L6 CT CTX a"
"mBC-0716-2_E5,D3","ODC"
"mBC-0716-2_E5,F5","Astro"
"mBC-0716-2_E5,F7","L2/3 IT CTX b"
"mBC-0716-2_E5,G2","Micro"
"mBC-0716-2_E5,G3","Vip"
"mBC-0716-2_E5,G5","L5 IT CTX"
"mBC-0716-2_E5,G8","L5 IT RSP"
"mBC-0716-2_E5,G10","L4/5 IT CTX"
"mBC-0716-2_E6,A3","L5/6 NP CTX"
"mBC-0716-2_E6,B6","L6 CT CTX a"
"mBC-0716-2_E6,C10","Sst a"
"mBC-0716-2_E6,C12","Meis2"
"mBC-0716-2_E6,E2","L2/3 IT CTX a"
"mBC-0716-2_E6,E3","Sst b"
"mBC-0716-2_E6,E6","L2 IT RvPP"
"mBC-0716-2_E6,E8","L5 IT RSP"
"mBC-0716-2_E6,F1","L6 IT CTX"
"mBC-0716-2_E6,F2","L4/5 IT CTX"
"mBC-0716-2_E6,F9","Pvalb a"
"mBC-0716-2_E6,H2","L6 CT CTX a"
"mBC-0716-2_E6,H6","L4/5 IT CTX"
"mBC-0716-2_E6,H7","Astro"
"mBC-0716-2_E7,C9","OPC"
"mBC-0716-2_E7,D7","OPC"
"mBC-0716-2_E7,D9","Pvalb a"
"mBC-0716-2_E7,G8","L4/5 IT CTX"
"mBC-0716-2_E7,H5","Astro"
"mBC-0716-2_E8,A6","L4/5 IT CTX"
"mBC-0716-2_E8,A11","Pvalb b"
"mBC-0716-2_E8,B10","Vip"
"mBC-0716-2_E8,B11","L4 IT CTX"
"mBC-0716-2_E8,C5","L6 IT CTX"
"mBC-0716-2_E8,C10","L5 IT CTX"
"mBC-0716-2_E8,C12","ODC"
"mBC-0716-2_E8,D4","Astro"
"mBC-0716-2_E8,D8","L5 IT RSP"
"mBC-0716-2_E8,D11","L4/5 IT CTX"
"mBC-0716-2_E8,F2","L2 IT RvPP"
"mBC-0716-2_E8,F4","L2/3 IT CTX c"
"mBC-0716-2_E8,F5","Pvalb a"
"mBC-0716-2_E8,F6","Sst b"
"mBC-0716-2_E8,F8","Unk"
"mBC-0716-2_E8,G9","L5 IT CTX"
"mBC-0716-2_E8,H3","L2/3 IT CTX b"
"mBC-0716-2_E8,H10","Sst b"
"mBC-0716-2_E8,H11","Unk"
"mBC-0716-2_E9,A5","L5 IT CTX"
"mBC-0716-2_E9,A8","Lamp5"
"mBC-0716-2_E9,A11","L4 IT CTX"
"mBC-0716-2_E9,B4","L5 IT RSP"
"mBC-0716-2_E9,D5","L4/5 IT CTX"
"mBC-0716-2_E9,F7","L5 IT CTX"
"mBC-0716-2_E9,F9","OPC"
"mBC-0716-2_E9,G11","L5 IT CTX"
"mBC-0716-2_E9,H2","L5 IT RSP"
"mBC-0716-2_E9,H6","L6 IT CTX"
"mBC-0716-2_E9,H8","Lamp5"
"mBC-0716-2_E10,A5","ODC"
"mBC-0716-2_E10,C12","L4/5 IT CTX"
"mBC-0716-2_E10,D1","Meis2"
"mBC-0716-2_E10,D3","Pvalb b"
"mBC-0716-2_E10,D10","ODC"
"mBC-0716-2_E10,F2","L4 IT CTX"
"mBC-0716-2_E10,F3","L4/5 IT CTX"
"mBC-0716-2_E10,F5","L2/3 IT CTX a"
"mBC-0716-2_E10,G2","L2/3 IT CTX b"
"mBC-0716-2_E10,G3","Astro"
"mBC-0716-2_E10,G6","L2/3 IT CTX c"
"mBC-0716-2_E10,G12","OPC"
"mBC-0716-2_E10,H3","Meis2"
"mBC-0716-2_E11,A10","Micro"
"mBC-0716-2_E11,B1","L2/3 IT CTX a"
"mBC-0716-2_E11,B6","Meis2"
"mBC-0716-2_E11,C4","L4/5 IT CTX"
"mBC-0716-2_E11,C5","L2/3 IT RSP"
"mBC-0716-2_E11,C12","L4/5 IT CTX"
"mBC-0716-2_E11,D2","L2/3 IT CTX b"
"mBC-0716-2_E11,D10","L4 IT CTX"
"mBC-0716-2_E11,E6","Meis2"
"mBC-0716-2_E11,G1","OPC"
"mBC-0716-2_E11,G5","L2/3 IT CTX c"
"mBC-0716-2_E11,G11","L2/3 IT CTX b"
"mBC-0716-2_E11,H8","L2 IT RvPP"
"mBC-0716-2_E11,H9","L5 IT CTX"
"mBC-0716-2_E12,A6","L2/3 IT CTX c"
"mBC-0716-2_E12,A12","Sst a"
"mBC-0716-2_E12,B6","VLMC"
"mBC-0716-2_E12,C5","L6 IT CTX"
"mBC-0716-2_E12,C8","Astro"
"mBC-0716-2_E12,D8","L2/3 IT CTX b"
"mBC-0716-2_E12,F10","L5 IT CTX"
"mBC-0716-2_E12,G5","L4/5 IT CTX"
"mBC-0716-2_E12,H3","L2 IT RvPP"
"mBC-0716-2_F1,A3","L2/3 IT CTX a"
"mBC-0716-2_F1,A6","ODC"
"mBC-0716-2_F1,B3","L2 IT RvPP"
"mBC-0716-2_F1,B12","L5 IT CTX"
"mBC-0716-2_F1,C2","Pvalb a"
"mBC-0716-2_F1,C7","L2/3 IT CTX c"
"mBC-0716-2_F1,C10","ODC"
"mBC-0716-2_F1,C12","Astro"
"mBC-0716-2_F1,D3","L2 IT RvPP"
"mBC-0716-2_F1,D10","L5 IT CTX"
"mBC-0716-2_F1,F1","L2/3 IT CTX a"
"mBC-0716-2_F1,G3","L2 IT RvPP"
"mBC-0716-2_F1,G6","Pvalb b"
"mBC-0716-2_F1,G8","L4 IT CTX"
"mBC-0716-2_F1,G9","Astro"
"mBC-0716-2_F1,G11","L5 IT CTX"
"mBC-0716-2_F1,H7","Astro"
"mBC-0716-2_F1,H10","L2/3 IT CTX c"
"mBC-0716-2_F1,H12","L4/5 IT CTX"
"mBC-0716-2_F2,A3","L5/6 NP CTX"
"mBC-0716-2_F2,B5","L2/3 IT CTX b"
"mBC-0716-2_F2,D1","L4 IT CTX"
"mBC-0716-2_F2,D5","OPC"
"mBC-0716-2_F2,E1","Astro"
"mBC-0716-2_F2,E8","Astro"
"mBC-0716-2_F2,E10","Astro"
"mBC-0716-2_F2,F2","L5 IT RSP"
"mBC-0716-2_F2,F3","L2/3 IT CTX a"
"mBC-0716-2_F2,F6","L5 IT CTX"
"mBC-0716-2_F2,H5","L6 CT CTX a"
"mBC-0716-2_F3,A1","L2/3 IT CTX a"
"mBC-0716-2_F3,A4","L2/3 IT CTX a"
"mBC-0716-2_F3,A8","L2 IT RvPP"
"mBC-0716-2_F3,B9","L2/3 IT CTX a"
"mBC-0716-2_F3,C1","Sncg"
"mBC-0716-2_F3,D12","L2/3 IT CTX a"
"mBC-0716-2_F3,E1","L6 CT CTX b"
"mBC-0716-2_F3,E8","VLMC"
"mBC-0716-2_F3,E12","L6 IT CTX"
"mBC-0716-2_F3,F11","L6 CT CTX a"
"mBC-0716-2_F3,G1","L2/3 IT CTX c"
"mBC-0716-2_F3,G2","L5 IT RSP"
"mBC-0716-2_F3,H3","OPC"
"mBC-0716-2_F3,H5","L2/3 IT RSP"
"mBC-0716-2_F4,A4","L6 CT CTX a"
"mBC-0716-2_F4,C11","Sst b"
"mBC-0716-2_F4,D1","L2/3 IT CTX a"
"mBC-0716-2_F4,D7","L5 IT RSP"
"mBC-0716-2_F4,D9","OPC"
"mBC-0716-2_F4,E6","ODC"
"mBC-0716-2_F4,F3","L2/3 IT CTX b"
"mBC-0716-2_F4,F4","L2/3 IT CTX c"
"mBC-0716-2_F4,G2","Meis2"
"mBC-0716-2_F5,A11","L2/3 IT CTX b"
"mBC-0716-2_F5,B5","L2/3 IT CTX b"
"mBC-0716-2_F5,B9","L5 IT CTX"
"mBC-0716-2_F5,C1","Sst a"
"mBC-0716-2_F5,D6","L5 IT CTX"
"mBC-0716-2_F5,D10","L4/5 IT CTX"
"mBC-0716-2_F5,F8","Unk"
"mBC-0716-2_F5,G3","Meis2"
"mBC-0716-2_F5,G7","L2/3 IT CTX a"
"mBC-0716-2_F5,G10","VLMC"
"mBC-0716-2_F5,H2","L6 IT CTX"
"mBC-0716-2_F5,H10","L5/6 NP CTX"
"mBC-0716-2_F6,A3","L2/3 IT CTX c"
"mBC-0716-2_F6,B2","L5 PT CTX"
"mBC-0716-2_F6,B4","Astro"
"mBC-0716-2_F6,B5","L4/5 IT CTX"
"mBC-0716-2_F6,B6","L2/3 IT CTX b"
"mBC-0716-2_F6,D3","L4 IT CTX"
"mBC-0716-2_F6,E1","L4 IT CTX"
"mBC-0716-2_F6,E6","L2/3 IT CTX a"
"mBC-0716-2_F6,E11","L2/3 IT CTX a"
"mBC-0716-2_F6,E12","Pvalb a"
"mBC-0716-2_F6,F1","L2/3 IT CTX a"
"mBC-0716-2_F6,F4","Astro"
"mBC-0716-2_F6,G5","L2/3 IT CTX b"
"mBC-0716-2_F6,G9","L6 CT CTX b"
"mBC-0716-2_F6,H1","L5 IT CTX"
"mBC-0716-2_F6,H5","L2/3 IT CTX a"
"mBC-0716-2_F6,H9","L2/3 IT CTX a"
"mBC-0716-2_F7,A12","Sst b"
"mBC-0716-2_F7,C1","L6 CT CTX a"
"mBC-0716-2_F7,C2","L4/5 IT CTX"
"mBC-0716-2_F7,D9","L2/3 IT CTX a"
"mBC-0716-2_F7,D11","L4 IT CTX"
"mBC-0716-2_F7,D12","L6 CT CTX a"
"mBC-0716-2_F7,F2","L2/3 IT CTX a"
"mBC-0716-2_F7,G5","Sncg"
"mBC-0716-2_F7,H12","L5 IT CTX"
"mBC-0716-2_F8,A4","OPC"
"mBC-0716-2_F8,A5","Astro"
"mBC-0716-2_F8,B3","L5 IT RSP"
"mBC-0716-2_F8,D6","L5 IT CTX"
"mBC-0716-2_F8,E6","L6 CT CTX a"
"mBC-0716-2_F8,E8","OPC"
"mBC-0716-2_F8,E9","Vip"
"mBC-0716-2_F8,E11","L2/3 IT CTX b"
"mBC-0716-2_F8,G2","L5 IT RSP"
"mBC-0716-2_F8,H4","Unk"
"mBC-0716-2_F8,H10","Pvalb b"
"mBC-0716-2_F9,A6","L4/5 IT CTX"
"mBC-0716-2_F9,A10","L4 IT CTX"
"mBC-0716-2_F9,A12","Pvalb a"
"mBC-0716-2_F9,B9","Pvalb a"
"mBC-0716-2_F9,D7","Astro"
"mBC-0716-2_F9,D10","Micro"
"mBC-0716-2_F9,E11","L4/5 IT CTX"
"mBC-0716-2_F9,F11","L2/3 IT CTX b"
"mBC-0716-2_F9,G8","OPC"
"mBC-0716-2_F9,G10","L6 CT CTX a"
"mBC-0716-2_F9,H4","Unk"
"mBC-0716-2_F10,B2","Vip"
"mBC-0716-2_F10,B3","Astro"
"mBC-0716-2_F10,B6","L2/3 IT CTX c"
"mBC-0716-2_F10,B8","L5 IT CTX"
"mBC-0716-2_F10,C5","L2/3 IT CTX b"
"mBC-0716-2_F10,C7","Micro"
"mBC-0716-2_F10,C10","L2 IT RvPP"
"mBC-0716-2_F10,D5","Vip"
"mBC-0716-2_F10,D12","L2/3 IT RSP"
"mBC-0716-2_F10,F2","L5 IT CTX"
"mBC-0716-2_F10,F8","Unk"
"mBC-0716-2_F10,G5","L4/5 IT CTX"
"mBC-0716-2_F10,G8","Astro"
"mBC-0716-2_F10,G11","L2/3 IT CTX c"
"mBC-0716-2_F10,H1","L2/3 IT CTX b"
"mBC-0716-2_F10,H5","L2/3 IT RSP"
"mBC-0716-2_F10,H7","L6 IT CTX"
"mBC-0716-2_F11,A8","Astro"
"mBC-0716-2_F11,B4","OPC"
"mBC-0716-2_F11,C10","L5 IT CTX"
"mBC-0716-2_F11,D3","L6 CT CTX b"
"mBC-0716-2_F11,E3","Vip"
"mBC-0716-2_F11,E7","Pvalb a"
"mBC-0716-2_F11,E12","ODC"
"mBC-0716-2_F11,F1","L2/3 IT RSP"
"mBC-0716-2_F11,F2","Astro"
"mBC-0716-2_F11,F6","L5 IT RSP"
"mBC-0716-2_F11,G3","Meis2"
"mBC-0716-2_F11,G5","OPC"
"mBC-0716-2_F12,A11","ODC"
"mBC-0716-2_F12,B5","L6 IT CTX"
"mBC-0716-2_F12,B11","Unk"
"mBC-0716-2_F12,E8","Sst b"
"mBC-0716-2_F12,H8","L2/3 IT CTX b"
"mBC-0716-2_G1,A10","Unk"
"mBC-0716-2_G1,C12","Lamp5"
"mBC-0716-2_G1,D10","L4 IT CTX"
"mBC-0716-2_G1,D12","L2/3 IT CTX a"
"mBC-0716-2_G1,E6","L6 IT CTX"
"mBC-0716-2_G1,E10","L5 IT CTX"
"mBC-0716-2_G1,F3","L4/5 IT CTX"
"mBC-0716-2_G1,G9","L6 CT CTX a"
"mBC-0716-2_G1,H7","L5 IT CTX"
"mBC-0716-2_G2,A12","OPC"
"mBC-0716-2_G2,B2","L2/3 IT CTX b"
"mBC-0716-2_G2,B3","ODC"
"mBC-0716-2_G2,B12","L4/5 IT CTX"
"mBC-0716-2_G2,C7","L2/3 IT RSP"
"mBC-0716-2_G2,C11","Sncg"
"mBC-0716-2_G2,D7","L4/5 IT CTX"
"mBC-0716-2_G2,E1","L4/5 IT CTX"
"mBC-0716-2_G2,F4","L4 IT CTX"
"mBC-0716-2_G2,F5","L2/3 IT CTX c"
"mBC-0716-2_G2,F6","L4/5 IT CTX"
"mBC-0716-2_G2,F8","L5 IT CTX"
"mBC-0716-2_G2,F11","L5 IT CTX"
"mBC-0716-2_G2,G1","Astro"
"mBC-0716-2_G2,H6","L5 IT CTX"
"mBC-0716-2_G3,A1","Astro"
"mBC-0716-2_G3,A3","ODC"
"mBC-0716-2_G3,A10","Sst a"
"mBC-0716-2_G3,B11","Unk"
"mBC-0716-2_G3,C3","Astro"
"mBC-0716-2_G3,C5","L2/3 IT CTX b"
"mBC-0716-2_G3,C8","Sst a"
"mBC-0716-2_G3,C9","L2/3 IT CTX c"
"mBC-0716-2_G3,C10","L5 IT RSP"
"mBC-0716-2_G3,D2","OPC"
"mBC-0716-2_G3,D7","L2/3 IT CTX a"
"mBC-0716-2_G3,F3","L4/5 IT CTX"
"mBC-0716-2_G3,F7","L6 CT CTX a"
"mBC-0716-2_G3,F12","L6 IT CTX"
"mBC-0716-2_G3,G1","L5 IT CTX"
"mBC-0716-2_G3,G6","Unk"
"mBC-0716-2_G3,G9","L6 CT CTX a"
"mBC-0716-2_G3,H6","L5/6 NP CTX"
"mBC-0716-2_G4,A3","Pvalb a"
"mBC-0716-2_G4,A9","L6 CT CTX b"
"mBC-0716-2_G4,A11","Vip"
"mBC-0716-2_G4,B3","L6 CT CTX a"
"mBC-0716-2_G4,B5","ODC"
"mBC-0716-2_G4,E3","L2/3 IT CTX b"
"mBC-0716-2_G4,F6","ODC"
"mBC-0716-2_G4,G3","L6 CT CTX b"
"mBC-0716-2_G4,G6","Unk"
"mBC-0716-2_G4,G7","L5 IT CTX"
"mBC-0716-2_G4,H3","L6 CT CTX a"
"mBC-0716-2_G5,A11","L5 IT RSP"
"mBC-0716-2_G5,B5","Sst a"
"mBC-0716-2_G5,C3","Pvalb a"
"mBC-0716-2_G5,C4","L6 CT CTX a"
"mBC-0716-2_G5,C5","Vip"
"mBC-0716-2_G5,C6","L2/3 IT CTX c"
"mBC-0716-2_G5,E8","L4 IT CTX"
"mBC-0716-2_G5,E12","Vip"
"mBC-0716-2_G5,F1","L2 IT RvPP"
"mBC-0716-2_G5,F3","L2/3 IT CTX b"
"mBC-0716-2_G5,F6","L5 IT CTX"
"mBC-0716-2_G5,F12","Sst b"
"mBC-0716-2_G5,G7","Sst a"
"mBC-0716-2_G5,H7","OPC"
"mBC-0716-2_G6,A5","L5 IT CTX"
"mBC-0716-2_G6,B9","L2/3 IT CTX b"
"mBC-0716-2_G6,B10","Pvalb b"
"mBC-0716-2_G6,C4","L6 IT CTX"
"mBC-0716-2_G6,C7","L5 IT CTX"
"mBC-0716-2_G6,D3","L4/5 IT CTX"
"mBC-0716-2_G6,D6","L2/3 IT CTX a"
"mBC-0716-2_G6,E1","L2/3 IT CTX b"
"mBC-0716-2_G6,E8","ODC"
"mBC-0716-2_G6,G1","L6 CT CTX b"
"mBC-0716-2_G6,H1","Sst a"
"mBC-0716-2_G6,H3","L2/3 IT RSP"
"mBC-0716-2_G6,H4","Unk"
"mBC-0716-2_G6,H9","L4/5 IT CTX"
"mBC-0716-2_G7,C7","L2/3 IT CTX c"
"mBC-0716-2_G7,C8","L5 IT RSP"
"mBC-0716-2_G7,C11","L2/3 IT CTX b"
"mBC-0716-2_G7,E10","L6 CT CTX a"
"mBC-0716-2_G7,F10","L2/3 IT CTX c"
"mBC-0716-2_G7,H3","L6 CT CTX a"
"mBC-0716-2_G8,A4","L2/3 IT RSP"
"mBC-0716-2_G8,C11","Lamp5"
"mBC-0716-2_G8,D11","L6 CT CTX b"
"mBC-0716-2_G8,F9","Micro"
"mBC-0716-2_G8,F10","L4/5 IT CTX"
"mBC-0716-2_G9,A2","L4/5 IT CTX"
"mBC-0716-2_G9,A3","L2/3 IT CTX a"
"mBC-0716-2_G9,B3","L2/3 IT CTX b"
"mBC-0716-2_G9,B5","Micro"
"mBC-0716-2_G9,C3","L6 IT CTX"
"mBC-0716-2_G9,C8","VLMC"
"mBC-0716-2_G9,D6","Meis2"
