"","Idents.obj."
"mBC-0716-1_C4,G6","Meis2"
"mBC-0716-1_C4,G7","Vip"
"mBC-0716-1_C4,H2","OPC"
"mBC-0716-1_C5,A8","L4/5 IT CTX"
"mBC-0716-1_C5,B3","L6 IT CTX"
"mBC-0716-1_C5,C6","Pvalb a"
"mBC-0716-1_C5,C9","L2/3 IT CTX a"
"mBC-0716-1_C5,C12","L5 IT CTX"
"mBC-0716-1_C5,D5","L2/3 IT CTX b"
"mBC-0716-1_C5,D7","L2/3 IT CTX c"
"mBC-0716-1_C5,D8","L2/3 IT CTX c"
"mBC-0716-1_C5,F10","Astro"
"mBC-0716-1_C6,B4","L6 CT CTX b"
"mBC-0716-1_C6,B6","Pvalb a"
"mBC-0716-1_C6,B8","L2/3 IT CTX a"
"mBC-0716-1_C6,B11","Unk"
"mBC-0716-1_C6,D2","Sst a"
"mBC-0716-1_C6,D5","Sncg"
"mBC-0716-1_C6,D7","Pvalb b"
"mBC-0716-1_C6,E2","L2/3 IT CTX c"
"mBC-0716-1_C6,E4","Lamp5"
"mBC-0716-1_C6,F2","Sst b"
"mBC-0716-1_C6,F3","Micro"
"mBC-0716-1_C6,F6","Pvalb b"
"mBC-0716-1_C6,F11","L2/3 IT CTX b"
"mBC-0716-1_C6,G3","L6 IT CTX"
"mBC-0716-1_C6,H9","L6 IT CTX"
"mBC-0716-1_C6,H10","L2/3 IT CTX b"
"mBC-0716-1_C7,A5","Astro"
"mBC-0716-1_C7,B1","Pvalb b"
"mBC-0716-1_C7,B4","L2/3 IT RSP"
"mBC-0716-1_C7,B9","Astro"
"mBC-0716-1_C7,C1","Vip"
"mBC-0716-1_C7,C4","L5 IT CTX"
"mBC-0716-1_C7,C12","L5/6 NP CTX"
"mBC-0716-1_C7,D3","OPC"
"mBC-0716-1_C7,F1","L2/3 IT CTX a"
"mBC-0716-1_C7,F4","L2/3 IT CTX a"
"mBC-0716-1_C7,F7","L4 IT CTX"
"mBC-0716-1_C7,H2","OPC"
"mBC-0716-1_C8,A1","L4 IT CTX"
"mBC-0716-1_C8,A3","L5 IT CTX"
"mBC-0716-1_C8,A10","L4/5 IT CTX"
"mBC-0716-1_C8,B2","L6 CT CTX a"
"mBC-0716-1_C8,B8","L5 IT RSP"
"mBC-0716-1_C8,C1","L5 IT CTX"
"mBC-0716-1_C8,D12","L2/3 IT CTX c"
"mBC-0716-1_C8,E2","L5/6 NP CTX"
"mBC-0716-1_C8,E7","Astro"
"mBC-0716-1_C8,E11","L2/3 IT CTX b"
"mBC-0716-1_C8,F3","Pvalb a"
"mBC-0716-1_C8,G1","L4/5 IT CTX"
"mBC-0716-1_C8,G3","Pvalb a"
"mBC-0716-1_C8,G5","L2/3 IT RSP"
"mBC-0716-1_C8,G6","Pvalb b"
"mBC-0716-1_C8,G8","L2/3 IT RSP"
"mBC-0716-1_C8,G11","L2/3 IT CTX b"
"mBC-0716-1_C8,H4","Unk"
"mBC-0716-1_C8,H5","L4/5 IT CTX"
"mBC-0716-1_C8,H6","Sst b"
"mBC-0716-1_C8,H7","Pvalb a"
"mBC-0716-1_C9,A8","L5/6 NP CTX"
"mBC-0716-1_C9,B2","L5 IT RSP"
"mBC-0716-1_C9,C4","Pvalb a"
"mBC-0716-1_C9,C7","Meis2"
"mBC-0716-1_C9,C9","L2 IT RvPP"
"mBC-0716-1_C9,D8","L4 IT CTX"
"mBC-0716-1_C9,D10","L5/6 NP CTX"
"mBC-0716-1_C9,D11","L6 IT CTX"
"mBC-0716-1_C9,F2","L2/3 IT CTX b"
"mBC-0716-1_C9,F7","L5 IT RSP"
"mBC-0716-1_C9,G2","Micro"
"mBC-0716-1_C9,G7","L2/3 IT RSP"
"mBC-0716-1_C9,G9","L5 IT CTX"
"mBC-0716-1_C9,H5","L5 IT CTX"
"mBC-0716-1_C9,H7","ODC"
"mBC-0716-1_C9,H11","Unk"
"mBC-0716-1_C10,C12","Micro"
"mBC-0716-1_C10,D11","Sst a"
"mBC-0716-1_C10,E5","L2/3 IT CTX c"
"mBC-0716-1_C10,E6","L2/3 IT CTX a"
"mBC-0716-1_C10,E8","L4/5 IT CTX"
"mBC-0716-1_C10,F4","Astro"
"mBC-0716-1_C10,F12","Unk"
"mBC-0716-1_C10,G1","L2/3 IT CTX a"
"mBC-0716-1_C10,G9","L2/3 IT CTX b"
"mBC-0716-1_C10,H2","L6 IT CTX"
"mBC-0716-1_C11,A3","Meis2"
"mBC-0716-1_C11,B1","ODC"
"mBC-0716-1_C11,B7","L4/5 IT CTX"
"mBC-0716-1_C11,C2","L5 IT CTX"
"mBC-0716-1_C11,C11","L2/3 IT CTX a"
"mBC-0716-1_C11,D8","L2/3 IT CTX a"
"mBC-0716-1_C11,E4","L2/3 IT CTX a"
"mBC-0716-1_C11,E7","L5 IT CTX"
"mBC-0716-1_C11,F8","Astro"
"mBC-0716-1_C11,G1","Sst a"
"mBC-0716-1_C11,H5","L5 IT CTX"
"mBC-0716-1_C12,A2","Lamp5"
"mBC-0716-1_C12,A6","Lamp5"
"mBC-0716-1_C12,A7","ODC"
"mBC-0716-1_C12,A11","L4 IT CTX"
"mBC-0716-1_C12,B5","ODC"
"mBC-0716-1_C12,C5","ODC"
"mBC-0716-1_C12,D10","L5 IT CTX"
"mBC-0716-1_C12,E4","L5/6 NP CTX"
"mBC-0716-1_C12,E8","L2/3 IT RSP"
"mBC-0716-1_C12,E9","Meis2"
"mBC-0716-1_C12,E11","L2 IT RvPP"
"mBC-0716-1_C12,F1","L2/3 IT CTX a"
"mBC-0716-1_C12,G8","L2/3 IT CTX c"
"mBC-0716-1_C12,G11","L2/3 IT CTX a"
"mBC-0716-1_C12,H1","L2/3 IT CTX b"
"mBC-0716-1_C12,H8","OPC"
"mBC-0716-1_D1,B2","L2/3 IT CTX c"
"mBC-0716-1_D1,B11","Unk"
"mBC-0716-1_D1,D8","L2/3 IT RSP"
"mBC-0716-1_D1,G6","Unk"
"mBC-0716-1_D1,G11","L2/3 IT CTX a"
"mBC-0716-1_D1,H7","L2/3 IT CTX a"
"mBC-0716-1_D2,B8","ODC"
"mBC-0716-1_D2,B12","L4/5 IT CTX"
"mBC-0716-1_D2,C7","Pvalb a"
"mBC-0716-1_D2,D1","L5 PT CTX"
"mBC-0716-1_D2,D11","L2/3 IT RSP"
"mBC-0716-1_D2,E1","Pvalb a"
"mBC-0716-1_D2,E6","Micro"
"mBC-0716-1_D2,F11","L5 IT CTX"
"mBC-0716-1_D2,G2","L2/3 IT CTX c"
"mBC-0716-1_D2,G11","Lamp5"
"mBC-0716-1_D2,G12","L5 IT CTX"
"mBC-0716-1_D2,H2","Sncg"
"mBC-0716-1_D2,H11","Unk"
"mBC-0716-1_D2,H12","L6 CT CTX b"
"mBC-0716-1_D3,A11","L2/3 IT CTX a"
"mBC-0716-1_D3,B2","L2/3 IT CTX a"
"mBC-0716-1_D3,B5","L6 IT CTX"
"mBC-0716-1_D3,C1","L6 IT CTX"
"mBC-0716-1_D3,C3","L5 PT CTX"
"mBC-0716-1_D3,D5","L5 IT RSP"
"mBC-0716-1_D3,D8","L5 IT CTX"
"mBC-0716-1_D3,F4","L2/3 IT CTX c"
"mBC-0716-1_D3,G8","L2 IT RvPP"
"mBC-0716-1_D3,H8","L6 CT CTX a"
"mBC-0716-1_D4,A1","L5/6 NP CTX"
"mBC-0716-1_D4,A3","Lamp5"
"mBC-0716-1_D4,A5","L4/5 IT CTX"
"mBC-0716-1_D4,B3","L2/3 IT CTX b"
"mBC-0716-1_D4,B8","L2/3 IT RSP"
"mBC-0716-1_D4,C1","L5 IT RSP"
"mBC-0716-1_D4,C2","OPC"
"mBC-0716-1_D4,C10","Lamp5"
"mBC-0716-1_D4,E5","L2/3 IT CTX c"
"mBC-0716-1_D4,E12","L5 IT CTX"
"mBC-0716-1_D4,F2","Pvalb a"
"mBC-0716-1_D4,F3","L6 IT CTX"
"mBC-0716-1_D4,H3","Pvalb a"
"mBC-0716-1_D4,H9","L4/5 IT CTX"
"mBC-0716-1_D5,A7","L2/3 IT CTX a"
"mBC-0716-1_D5,A12","L4 IT CTX"
"mBC-0716-1_D5,B1","OPC"
"mBC-0716-1_D5,B6","L4/5 IT CTX"
"mBC-0716-1_D5,B9","Pvalb b"
"mBC-0716-1_D5,B10","L4 IT CTX"
"mBC-0716-1_D5,C12","L2/3 IT CTX a"
"mBC-0716-1_D5,D7","L2/3 IT CTX b"
"mBC-0716-1_D5,E10","Astro"
"mBC-0716-1_D5,F9","L6 CT CTX a"
"mBC-0716-1_D5,G6","Meis2"
"mBC-0716-1_D5,H1","L2/3 IT CTX b"
"mBC-0716-1_D5,H7","L2/3 IT CTX a"
"mBC-0716-1_D5,H8","Sst a"
"mBC-0716-1_D5,H9","L2/3 IT RSP"
"mBC-0716-1_D5,H11","Unk"
"mBC-0716-1_D6,B5","L2/3 IT RSP"
"mBC-0716-1_D6,B8","L6 CT CTX b"
"mBC-0716-1_D6,B10","L2/3 IT RSP"
"mBC-0716-1_D6,C9","L2/3 IT CTX b"
"mBC-0716-1_D6,C10","Astro"
"mBC-0716-1_D6,C12","L6 CT CTX a"
"mBC-0716-1_D6,E1","L2/3 IT CTX c"
"mBC-0716-1_D6,F3","ODC"
"mBC-0716-1_D6,F4","OPC"
"mBC-0716-1_D6,F11","L2/3 IT CTX c"
"mBC-0716-1_D6,G2","Astro"
"mBC-0716-1_D6,H12","Astro"
"mBC-0716-1_D7,B2","Sst a"
"mBC-0716-1_D7,B7","L2/3 IT CTX a"
"mBC-0716-1_D7,B8","OPC"
"mBC-0716-1_D7,B9","L6 IT CTX"
"mBC-0716-1_D7,E6","OPC"
"mBC-0716-1_D7,E7","L6 CT CTX b"
"mBC-0716-1_D7,G7","L2/3 IT CTX b"
"mBC-0716-1_D7,G8","L2/3 IT CTX c"
"mBC-0716-1_D8,A2","L5 IT CTX"
"mBC-0716-1_D8,A3","L2/3 IT CTX a"
"mBC-0716-1_D8,A5","OPC"
"mBC-0716-1_D8,B7","Astro"
"mBC-0716-1_D8,C5","L6 CT CTX a"
"mBC-0716-1_D8,C7","Sst b"
