,louvain,cell type
"CD-0722-4_D2,A6",1,Unk=HSC
"CD-0722-4_D2,B7",7,MEP
"CD-0722-4_D2,C4",4,HSC
"CD-0722-4_D2,E3",6,LMPP
"CD-0722-4_D2,E11",6,LMPP
"CD-0722-4_D2,F6",4,HSC
"CD-0722-4_D2,G3",3,MPP
"CD-0722-4_D2,G11",2,Unk=2
"CD-0722-4_D2,H1",0,B-NK
"CD-0722-4_D3,A4",5,Unk=5
"CD-0722-4_D3,A11",3,MPP
"CD-0722-4_D3,B9",0,B-NK
"CD-0722-4_D3,C1",0,B-NK
"CD-0722-4_D3,C5",2,Unk=2
"CD-0722-4_D3,C8",0,B-NK
"CD-0722-4_D3,H8",4,HSC
"CD-0722-4_D4,A12",5,Unk=5
"CD-0722-4_D4,C9",5,Unk=5
"CD-0722-4_D4,H1",1,Unk=HSC
"CD-0722-4_D4,H3",6,LMPP
"CD-0722-4_D5,B4",1,Unk=HSC
"CD-0722-4_D6,A5",0,B-NK
"CD-0722-4_D6,A6",0,B-NK
"CD-0722-4_D6,A9",9,MLP
"CD-0722-4_D6,C5",6,LMPP
"CD-0722-4_D6,D9",4,HSC
"CD-0722-4_D6,E12",4,HSC
"CD-0722-4_D6,F5",0,B-NK
"CD-0722-4_D6,H8",0,B-NK
"CD-0722-4_D7,A3",1,Unk=HSC
"CD-0722-4_D7,A4",2,Unk=2
"CD-0722-4_D7,B9",2,Unk=2
"CD-0722-4_D7,D4",2,Unk=2
"CD-0722-4_D7,D5",5,Unk=5
"CD-0722-4_D7,F6",1,Unk=HSC
"CD-0722-4_D7,F11",3,MPP
"CD-0722-4_D7,H3",1,Unk=HSC
"CD-0722-4_D8,A6",4,HSC
"CD-0722-4_D8,C3",5,Unk=5
"CD-0722-4_D8,C4",3,MPP
"CD-0722-4_D8,C10",3,MPP
"CD-0722-4_D8,C11",0,B-NK
"CD-0722-4_D9,A11",7,MEP
"CD-0722-4_D9,E6",4,HSC
"CD-0722-4_D9,E12",1,Unk=HSC
"CD-0722-4_D9,F2",0,B-NK
"CD-0722-4_D9,F4",2,Unk=2
"CD-0722-4_D10,C1",8,Unk=B-NK
"CD-0722-4_D10,C2",5,Unk=5
"CD-0722-4_D10,D2",6,LMPP
"CD-0722-4_D10,D11",0,B-NK
"CD-0722-4_D10,E10",6,LMPP
"CD-0722-4_D10,F2",0,B-NK
"CD-0722-4_D10,G9",5,Unk=5
"CD-0722-4_D10,G11",2,Unk=2
"CD-0722-4_D10,H12",1,Unk=HSC
"CD-0722-4_D11,A1",2,Unk=2
"CD-0722-4_D11,C10",5,Unk=5
"CD-0722-4_D11,F6",3,MPP
"CD-0722-4_D11,F9",5,Unk=5
"CD-0722-4_D11,F11",8,Unk=B-NK
"CD-0722-4_D11,G8",1,Unk=HSC
"CD-0722-4_D12,A9",4,HSC
"CD-0722-4_D12,A11",5,Unk=5
"CD-0722-4_D12,B7",3,MPP
"CD-0722-4_D12,B9",5,Unk=5
"CD-0722-4_D12,C1",3,MPP
